#mu n n_h sigma_xx sigma_yy sigma_xy	#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
-3.1578947368421053 0.9376039691462239 0.03179609680641599 1.6997314969426682e-38 1.6997314969426778e-38 5.671219284064335e-56	-3.16000000  0.93792088   2.04281828e-01  2.04281747e-01 -1.35492188e+00 -1.35491777e+00  1.15067892e-02  1.15067647e-02 -6.22492405e-02 -6.22480495e-02  5.39570253e-01  5.39570264e-01 -3.57377743e+00 -3.57377803e+00 
-3.137844611528822 0.9345748473922824 0.03340974418921622 1.771780994092923e-38 1.7717809940929163e-38 5.864574846041447e-56	-3.14000000  0.93490138   2.12964512e-01  2.12964421e-01 -1.40133259e+00 -1.40132795e+00  1.14372196e-02  1.14371832e-02 -6.03752257e-02 -6.03734349e-02  5.62513935e-01  5.62513980e-01 -3.69634947e+00 -3.69635180e+00 
-3.117794486215539 0.9315260873165634 0.035045272891029704 1.843391667324868e-38 1.843391667324867e-38 6.051950959960495e-56	-3.12000000  0.93186238   2.21594501e-01  2.21594394e-01 -1.44631787e+00 -1.44631253e+00  1.13675594e-02  1.13675166e-02 -5.84818881e-02 -5.84797760e-02  5.85318458e-01  5.85318554e-01 -3.81515205e+00 -3.81515691e+00 
-3.0977443609022557 0.9284573212933458 0.0367038816722805 1.9145630293285993e-38 1.9145630293285988e-38 6.233284462005291e-56	-3.10000000  0.92880352   2.30171734e-01  2.30171607e-01 -1.48986291e+00 -1.48985654e+00  1.12978320e-02  1.12977911e-02 -5.65684321e-02 -5.65664147e-02  6.07983652e-01  6.07983821e-01 -3.93014562e+00 -3.93015410e+00 
-3.0776942355889725 0.9253681954859063 0.038386856019707906 1.9852947166767085e-38 1.9852947166767093e-38 6.408509554769412e-56	-3.08000000  0.92572445   2.38696168e-01  2.38696012e-01 -1.53195215e+00 -1.53194442e+00  1.12280613e-02  1.12280333e-02 -5.46341545e-02 -5.46327705e-02  6.30509393e-01  6.30509662e-01 -4.04128903e+00 -4.04130239e+00 
-3.0576441102756893 0.9222583612457178 0.04009556479156783 2.0555866169840354e-38 2.0555866169840354e-38 6.57756023547458e-56	-3.06000000  0.92262483   2.47167785e-01  2.47167596e-01 -1.57256980e+00 -1.57256046e+00  1.11582724e-02  1.11582699e-02 -5.26784302e-02 -5.26782939e-02  6.52895628e-01  6.52896020e-01 -4.14854053e+00 -4.14855985e+00 
-3.037593984962406 0.9191274459493504 0.04183146463821615 2.125438889451195e-38 2.1254388894511984e-38 6.740370681154519e-56	-3.04000000  0.91950429   2.55586592e-01  2.55586371e-01 -1.61169979e+00 -1.61168894e+00  1.10884895e-02  1.10885245e-02 -5.07006072e-02 -5.07023002e-02  6.75142388e-01  6.75142908e-01 -4.25185823e+00 -4.25188374e+00 
-3.017543859649123 0.9159750480870867 0.04359611253332815 2.1948518753445313e-38 2.194851875344535e-38 6.896873711749768e-56	-3.02000000  0.91636243   2.63952610e-01  2.63952372e-01 -1.64932536e+00 -1.64931367e+00  1.10187384e-02  1.10188184e-02 -4.87000801e-02 -4.87039765e-02  6.97249762e-01  6.97250379e-01 -4.35119940e+00 -4.35122955e+00 
-2.9974937343358397 0.9128007519887114 0.04539117936338628 2.2638260187472814e-38 2.2638260187472855e-38 7.0469993849170545e-56	-3.00000000  0.91319884   2.72265868e-01  2.72265641e-01 -1.68542884e+00 -1.68541774e+00  1.09490487e-02  1.09491729e-02 -4.66763817e-02 -4.66824416e-02  7.19217877e-01  7.19218506e-01 -4.44651956e+00 -4.44655027e+00 
-2.9774436090225564 0.9096041397138515 0.047218462759672224 2.3323618429358696e-38 2.3323618429358733e-38 7.190674297670085e-56	-2.98000000  0.91001309   2.80526405e-01  2.80526235e-01 -1.71999181e+00 -1.71998345e+00  1.08794531e-02  1.08796089e-02 -4.46291205e-02 -4.46367343e-02  7.41046887e-01  7.41047389e-01 -4.53777223e+00 -4.53779678e+00 
-2.9573934837092732 0.9063847910848282 0.04907990214360088 2.4004599451209723e-38 2.4004599451209687e-38 7.327820885208012e-56	-2.96000000  0.90680476   2.88734282e-01  2.88734219e-01 -1.75299540e+00 -1.75299230e+00  1.08099837e-02  1.08101466e-02 -4.25578199e-02 -4.25658052e-02  7.62736986e-01  7.62737189e-01 -4.62490878e+00 -4.62491889e+00 
-2.93734335839599 0.9031422753968099 0.0509775975228459 2.4681209774077677e-38 2.4681209774077713e-38 7.458356335013072e-56	-2.94000000  0.90357341   2.96889587e-01  2.96889676e-01 -1.78442062e+00 -1.78442485e+00  1.07406683e-02  1.07408068e-02 -4.04617761e-02 -4.04685957e-02  7.84288397e-01  7.84288153e-01 -4.70787793e+00 -4.70786633e+00 
-2.917293233082707 0.899876140712466 0.052913829175159986 2.535345630843352e-38 2.535345630843346e-38 7.582191710813617e-56	-2.92000000  0.90031859   3.04992447e-01  3.04992699e-01 -1.81424847e+00 -1.81426061e+00  1.06715302e-02  1.06716145e-02 -3.83399867e-02 -3.83441695e-02  8.05701371e-01  8.05700625e-01 -4.78662517e+00 -4.78658912e+00 
-2.8972431077694236 0.8965859048031205 0.05489107255810298 2.6021346687892277e-38 2.602134668789227e-38 7.699232370439577e-56	-2.90000000  0.89703981   3.13043019e-01  3.13043394e-01 -1.84245975e+00 -1.84247803e+00  1.06025892e-02  1.06026010e-02 -3.61911604e-02 -3.61917901e-02  8.26976183e-01  8.26975040e-01 -4.86109268e+00 -4.86103707e+00 
-2.8771929824561404 0.8932710504930368 0.05691200408476667 2.66848904039383e-38 2.6684890403938284e-38 7.8093803297573975e-56	-2.88000000  0.89373659   3.21041483e-01  3.21041893e-01 -1.86903468e+00 -1.86905474e+00  1.05338640e-02  1.05338040e-02 -3.40138055e-02 -3.40108772e-02  8.48113161e-01  8.48111898e-01 -4.93122028e+00 -4.93115838e+00 
-2.857142857142857 0.8899310274382267 0.05897949896983737 2.734410054518102e-38 2.734410054518104e-38 7.912538058641679e-56	-2.86000000  0.89040840   3.28988035e-01  3.28988356e-01 -1.89395221e+00 -1.89396807e+00  1.04653761e-02  1.04652641e-02 -3.18063768e-02 -3.18008520e-02  8.69112721e-01  8.69111725e-01 -4.99694703e+00 -4.99689768e+00 
-2.837092731829574 0.8865652606776522 0.0610966298325623 2.799899540128915e-38 2.799899540128912e-38 8.008611935249779e-56	-2.84000000  0.88705471   3.36882874e-01  3.36882991e-01 -1.91718949e+00 -1.91719552e+00  1.03971523e-02  1.03970217e-02 -2.95674246e-02 -2.95609475e-02  8.89975407e-01  8.89975043e-01 -5.05821294e+00 -5.05819412e+00 
-2.817042606516291 0.8831731632486748 0.06326667963650397 2.8649598989091155e-38 2.8649598989091134e-38 8.097513091854229e-56	-2.82000000  0.88367497   3.44726201e-01  3.44726058e-01 -1.93872162e+00 -1.93871492e+00  1.03292265e-02  1.03291138e-02 -2.72956801e-02 -2.72900733e-02  9.10701905e-01  9.10702358e-01 -5.11495945e+00 -5.11498063e+00 
-2.7969924812030076 0.8797541471765464 0.06549318038124191 2.9295939933666764e-38 2.929593993366684e-38 8.179154253775537e-56	-2.80000000  0.88026859   3.52518229e-01  3.52517860e-01 -1.95852198e+00 -1.95850400e+00  1.02616387e-02  1.02615731e-02 -2.49900405e-02 -2.49867868e-02  9.31293027e-01  9.31294193e-01 -5.16712818e+00 -5.16718500e+00 
