#mu n n_h sigma_xx sigma_yy sigma_xy	#mu          density      sigma1_xx       sigma2_xx       sigma1_xy       sigma2_xy       alpha1_xx       alpha2_xx       alpha1_xy       alpha2_xy       beta1_xx        beta2_xx        beta1_xy        beta2_xy
0.17042606516290704 -0.17756692910014227 -0.4903028682883059 1.5000866174694013e-37 1.5000866174694004e-37 -2.8645594884159027e-55	 0.16000000 -0.17509092   1.77416591e+00  1.80413677e+00  6.82544785e+00  6.85250360e+00 -1.16133356e-03 -6.46375551e-03  2.99952242e-02  8.99033105e-03  4.76028597e+00  4.69423244e+00  1.80923668e+01  1.80473529e+01 
0.1904761904761898 -0.18247972484167274 -0.4681276266307509 1.4641030256482484e-37 1.4641030256482526e-37 -2.858042026657817e-55	 0.18000000 -0.17984273   1.79499542e+00  1.77754338e+00  6.85840877e+00  6.85481465e+00 -1.33630776e-02  5.52881303e-03  3.95084377e-03  3.29444921e-02  4.69977549e+00  4.73986836e+00  1.81159706e+01  1.81163450e+01 
0.21052631578947345 -0.18683845445451874 -0.4749918698930262 1.4759066804934307e-37 1.4759066804934378e-37 -2.8623400491035458e-55	 0.20000000 -0.18457740   1.78598912e+00  1.78024250e+00  6.87818743e+00  6.85859852e+00  6.97667190e-03 -1.51289292e-02  3.01960052e-02  6.32312977e-03  4.70601951e+00  4.71719905e+00  1.81264836e+01  1.81675615e+01 
0.2305764411027571 -0.19194320504634188 -0.479033985656356 1.4870993159808423e-37 1.4870993159808456e-37 -2.881397850965374e-55	 0.22000000 -0.18929722   1.76681318e+00  1.79327809e+00  6.86527652e+00  6.89822127e+00 -1.05945774e-02  2.04200365e-03  1.23373186e-02  2.08370432e-02  4.73249782e+00  4.67399527e+00  1.82133349e+01  1.81499714e+01 
0.25062656641603986 -0.19646998231685142 -0.4574072997287381 1.4496319747482657e-37 1.4496319747482548e-37 -2.8674908088804084e-55	 0.24000000 -0.19398533   1.79305739e+00  1.76079839e+00  6.91220001e+00  6.88093401e+00 -6.51702614e-03 -2.11705901e-03  1.17701276e-02  2.15367750e-02  4.65840581e+00  4.73134896e+00  1.81917144e+01  1.82501138e+01 
0.2706766917293226 -0.20099097980728975 -0.4749691283375808 1.4824914007821827e-37 1.4824914007821827e-37 -2.8880758132618613e-55	 0.26000000 -0.19866003   1.76387437e+00  1.78293135e+00  6.89724657e+00  6.91298125e+00  5.17353416e-03 -1.39846364e-02  2.71931066e-02  4.26375409e-03  4.70787900e+00  4.66392958e+00  1.82593916e+01  1.82309268e+01 
0.2907268170426063 -0.20604297089446955 -0.4634844581721681 1.4642179490026906e-37 1.4642179490026935e-37 -2.8871269666161826e-55	 0.28000000 -0.20332654   1.76707490e+00  1.77292169e+00  6.91555187e+00  6.92229862e+00 -1.60293970e-02  6.75562943e-03  1.51402631e-03  2.64775207e-02  4.68340511e+00  4.67062213e+00  1.82876568e+01  1.82731724e+01 
0.31077694235588993 -0.2102972655102635 -0.4527726768331475 1.446562536760545e-37 1.4465625367605413e-37 -2.884588198392951e-55	 0.30000000 -0.20796498   1.78042843e+00  1.75272893e+00  6.94314418e+00  6.91708668e+00  1.67498661e-03 -1.12053615e-02  2.19980531e-02  6.83070744e-03  4.63588822e+00  4.69936731e+00  1.82832069e+01  1.83353805e+01 
0.3308270676691727 -0.21507808991004573 -0.47057486362382817 1.479955501057076e-37 1.4799555010570702e-37 -2.9050806648992858e-55	 0.32000000 -0.21258376   1.74638121e+00  1.77946566e+00  6.92120672e+00  6.95415304e+00 -2.41460911e-03 -7.22080319e-03  1.40713001e-02  1.20324517e-02  4.69615140e+00  4.61961674e+00  1.83638186e+01  1.82971407e+01 
0.35087719298245545 -0.21984809572802622 -0.4481296712403778 1.4407398109426347e-37 1.440739810942635e-37 -2.8910594343766764e-55	 0.34000000 -0.21718724   1.76836829e+00  1.75002536e+00  6.96222320e+00  6.93867515e+00 -1.47238124e-02  4.90183345e-03  2.99811953e-03  2.11144179e-02  4.62709541e+00  4.66971239e+00  1.83394501e+01  1.83882464e+01 
0.3709273182957391 -0.22405026759910407 -0.4523332126396584 1.4509511493440132e-37 1.450951149344015e-37 -2.9049369512428137e-55	 0.36000000 -0.22177858   1.75917713e+00  1.75140794e+00  6.95667348e+00  6.95837981e+00  6.14122188e-03 -1.63614959e-02  2.45556073e-02 -5.04185453e-04  4.62900829e+00  4.64739117e+00  1.83850712e+01  1.83807349e+01 
0.39097744360902276 -0.2290047819204475 -0.46027212877338175 1.4652440812639749e-37 1.46524408126397e-37 -2.911353091633003e-55	 0.38000000 -0.22635392   1.73691712e+00  1.76611154e+00  6.95477307e+00  6.97651551e+00 -1.10890120e-02  5.16132684e-04  8.27788839e-04  1.96108724e-02  4.66218692e+00  4.59340802e+00  1.84266945e+01  1.83811723e+01 
0.4110275689223055 -0.23342415303334474 -0.4367281174282461 1.4243736941376427e-37 1.4243736941376412e-37 -2.899521553609227e-55	 0.40000000 -0.23089829   1.76388682e+00  1.73137424e+00  6.99325094e+00  6.95897997e+00 -8.44735323e-03 -2.09120784e-03  1.13857696e-02  9.00635244e-03  4.57917652e+00  4.65575538e+00  1.83939964e+01  1.84679151e+01 
0.4310776942355883 -0.23776413216451497 -0.45229149762911175 1.4550283952132043e-37 1.4550283952132024e-37 -2.9215553595400145e-55	 0.42000000 -0.23543442   1.73555684e+00  1.75107569e+00  6.96597999e+00  6.99408536e+00  4.73566081e-03 -1.54766867e-02  1.74376633e-02  1.78900103e-03  4.62464093e+00  4.58846575e+00  1.84740362e+01  1.84117496e+01 
0.45112781954887193 -0.2426910308346497 -0.445837255053712 1.4421109173304937e-37 1.4421109173304958e-37 -2.9114583345189207e-55	 0.44000000 -0.23996574   1.73363991e+00  1.74477519e+00  6.99140727e+00  6.98561916e+00 -1.62992955e-02  5.02370386e-03 -4.75625080e-03  2.03274227e-02  4.60931952e+00  4.58202577e+00  1.84576967e+01  1.84716125e+01 
0.4711779448621556 -0.24685474335910973 -0.43055274604265437 1.4174623154576831e-37 1.417462315457676e-37 -2.912636489029993e-55	 0.46000000 -0.24446631   1.75041670e+00  1.71983742e+00  7.00591621e+00  6.98515502e+00 -1.16901949e-03 -1.02494376e-02  1.82999709e-02 -2.06600793e-03  4.54769157e+00  4.62115740e+00  1.84595248e+01  1.85053313e+01 
0.49122807017543835 -0.2514160377052963 -0.44908950429993527 1.4519437517926972e-37 1.451943751792685e-37 -2.9299235282655683e-55	 0.48000000 -0.24894955   1.71545793e+00  1.74591013e+00  6.98033370e+00  7.01616207e+00 -1.37674771e-03 -1.00497485e-02  5.10370667e-03  8.78430353e-03  4.60911858e+00  4.53647860e+00  1.85312180e+01  1.84499450e+01 
0.5112781954887211 -0.2561257615922372 -0.4307898660504601 1.4175804127760207e-37 1.4175804127760186e-37 -2.9115183758367344e-55	 0.50000000 -0.25342581   1.73168027e+00  1.72073901e+00  7.02112724e+00  6.99115467e+00 -1.61770322e-02  4.44121821e-03 -1.82586677e-03  1.34939211e-02  4.54877128e+00  4.57402982e+00  1.84763549e+01  1.85455675e+01 
0.5313283208020048 -0.2602027968457856 -0.42840681024266003 1.417288242487477e-37 1.4172882424874757e-37 -2.9265072804223696e-55	 0.52000000 -0.25788767   1.72935874e+00  1.71406694e+00  7.00630301e+00  7.01195808e+00  3.55066686e-03 -1.56885708e-02  1.86625458e-02 -6.71145453e-03  4.53035880e+00  4.56839317e+00  1.85261855e+01  1.85124827e+01 
0.5513784461152884 -0.2649422697699726 -0.4410649788303882 1.4389356199551667e-37 1.4389356199551742e-37 -2.9300144186254145e-55	 0.54000000 -0.26233051   1.70158450e+00  1.73287422e+00  7.00065379e+00  7.02324320e+00 -8.96760878e-03 -3.34055580e-03 -5.86878943e-03  1.42199071e-02  4.57519495e+00  4.49905220e+00  1.85528496e+01  1.85004169e+01 
0.5714285714285712 -0.26935352351002484 -0.41828225289778953 1.3976691942884098e-37 1.3976691942884054e-37 -2.9149355305998165e-55	 0.56000000 -0.26675054   1.72598865e+00  1.69914688e+00  7.03689575e+00  6.99944938e+00 -1.17736095e-02 -5.07005280e-04  5.21576050e-03  2.72464448e-03  4.49277728e+00  4.55725296e+00  1.84980277e+01  1.85861023e+01 
0.5914786967418539 -0.27349957454525353 -0.4276465628898394 1.4184597459599452e-37 1.4184597459599413e-37 -2.9365584638292705e-55	 0.58000000 -0.27116647   1.70504616e+00  1.71017462e+00  7.00338093e+00  7.03230331e+00  3.94072694e-03 -1.65597779e-02  1.20967214e-02 -4.60604265e-03  4.51785697e+00  4.50678062e+00  1.85771365e+01  1.85085229e+01 
0.6115288220551376 -0.27828026594582633 -0.4289300598681266 1.4178421050599238e-37 1.4178421050599238e-37 -2.925222206631693e-55	 0.60000000 -0.27557373   1.69318674e+00  1.71262935e+00  7.02192322e+00  7.01982507e+00 -1.46801904e-02  1.59763435e-03 -1.09852112e-02  1.44583532e-02  4.52390999e+00  4.47525099e+00  1.85480081e+01  1.85528836e+01 
0.6315789473684212 -0.28243417408047367 -0.40983465256714424 1.3850358802778676e-37 1.3850358802778705e-37 -2.9214804094298822e-55	 0.62000000 -0.27994951   1.71354235e+00  1.68273747e+00  7.03748368e+00  7.01106432e+00 -5.70006683e-03 -7.34224380e-03  1.10585342e-02 -7.05896711e-03  4.44891508e+00  4.52442239e+00  1.85264360e+01  1.85899759e+01 
0.651629072681704 -0.28674215375568957 -0.4254507980975251 1.4156164225071041e-37 1.4156164225071094e-37 -2.93989248464269e-55	 0.64000000 -0.28431605   1.68204175e+00  1.70383265e+00  7.00319195e+00  7.04118438e+00  2.59180228e-04 -1.33789679e-02  1.58431595e-03  9.08439341e-04  4.49950632e+00  4.44713836e+00  1.85998937e+01  1.85082380e+01 
0.6716791979949868 -0.29140631940332784 -0.4150112506339619 1.3933206005572175e-37 1.3933206005572148e-37 -2.919657126937287e-55	 0.66000000 -0.28868041   1.68725582e+00  1.68848739e+00  7.03746817e+00  7.01234892e+00 -1.65901675e-02  3.00142463e-03 -9.72981298e-03  9.18218708e-03  4.46243346e+00  4.45780859e+00  1.85306827e+01  1.85911184e+01 
0.6917293233082704 -0.29541789789886397 -0.40518984563229865 1.3788484092385903e-37 1.37884840923858e-37 -2.928627243107674e-55	 0.68000000 -0.29302202   1.69426496e+00  1.67144244e+00  7.02679038e+00  7.02257764e+00 -6.12591129e-04 -1.31982108e-02  1.23855983e-02 -1.23788548e-02  4.41785720e+00  4.47507794e+00  1.85546388e+01  1.85655700e+01 
0.7117794486215541 -0.2998974894334485 -0.4199174106805407 1.4054991374083338e-37 1.4054991374083347e-37 -2.9362084980693816e-55	 0.70000000 -0.29734662   1.66319903e+00  1.69200902e+00  7.00681053e+00  7.03740581e+00 -5.69794921e-03 -8.12486309e-03 -8.70037195e-03  5.82168367e-03  4.46791286e+00  4.39711996e+00  1.85913086e+01  1.85160070e+01 
0.7318295739348368 -0.30433899265321873 -0.4019154544605808 1.3702880800292296e-37 1.3702880800292358e-37 -2.915940513869413e-55	 0.72000000 -0.30166132   1.68008676e+00  1.66441512e+00  7.04220585e+00  7.00541272e+00 -1.46815903e-02  6.80718450e-04 -4.65721895e-03  4.34859924e-04  4.40008876e+00  4.43740667e+00  1.85122498e+01  1.86023366e+01 
0.7518796992481196 -0.3083371040180716 -0.40282189402882645 1.3759064036481982e-37 1.3759064036481996e-37 -2.9332854159648822e-55	 0.74000000 -0.30596757   1.67051826e+00  1.66313503e+00  7.01081217e+00  7.02934116e+00  1.70514901e-03 -1.60829548e-02  8.50000436e-03 -1.25278727e-02  4.39451904e+00  4.41437135e+00  1.85710506e+01  1.85262826e+01 
0.7719298245614032 -0.31291929648613825 -0.4106739561468699 1.3878516178139903e-37 1.387851617813994e-37 -2.9273760564525512e-55	 0.76000000 -0.31025934   1.64908066e+00  1.67391569e+00  7.01153571e+00  7.02330312e+00 -1.15240519e-02 -3.08103740e-03 -1.54405828e-02  7.46290961e-03  4.42107819e+00  4.35888840e+00  1.85565015e+01  1.85263691e+01 
0.7919799498746869 -0.3171183671841573 -0.3914595535899899 1.3520221593178126e-37 1.3520221593178227e-37 -2.9145420734738114e-55	 0.78000000 -0.31452813   1.66867193e+00  1.64335238e+00  7.03424476e+00  7.00029763e+00 -1.03446041e-02 -4.20642037e-03  7.75757506e-04 -8.75661442e-03  4.34450569e+00  4.40658930e+00  1.84972954e+01  1.85818292e+01 
0.8120300751879697 -0.3212041159243946 -0.4006553932346923 1.372149855348476e-37 1.3721498553484754e-37 -2.9330650938301384e-55	 0.80000000 -0.31879307   1.64569186e+00  1.65475320e+00  6.99446255e+00  7.02750935e+00  6.80361719e-04 -1.54828889e-02  7.32770334e-04 -9.12355512e-03  4.37108861e+00  4.35019014e+00  1.85655769e+01  1.84839871e+01 
0.8320802005012524 -0.3257730525478153 -0.39880342434568594 1.3650287352232858e-37 1.365028735223292e-37 -2.9161799195067602e-55	 0.82000000 -0.32305265   1.63834039e+00  1.65096025e+00  7.01309845e+00  7.00302760e+00 -1.52095548e-02 -2.89687488e-05 -1.73711877e-02  4.98419096e-03  4.36209878e+00  4.32936611e+00  1.85048794e+01  1.85287235e+01 
0.8521303258145361 -0.3297862667331224 -0.38423962114953536 1.3394353923619202e-37 1.3394353923619214e-37 -2.9142781580862628e-55	 0.84000000 -0.32728560   1.65164575e+00  1.62645172e+00  7.01493910e+00  6.99556623e+00 -5.51176917e-03 -9.73027813e-03  3.87716749e-03 -1.56958141e-02  4.29920367e+00  4.36203889e+00  1.84833888e+01  1.85327650e+01 
0.8721804511278197 -0.3340101259453445 -0.39679268824913744 1.364091329462594e-37 1.3640913294625973e-37 -2.9269334125474824e-55	 0.86000000 -0.33150898   1.62275132e+00  1.64340780e+00  6.97994257e+00  7.01512016e+00 -3.08300474e-03 -1.22102085e-02 -8.50193865e-03 -4.71900911e-03  4.34027083e+00  4.28998487e+00  1.85331072e+01  1.84449942e+01 
0.8922305764411025 -0.338452043927187 -0.3861937689976391 1.3407060720647687e-37 1.3407060720647683e-37 -2.9050358515061604e-55	 0.88000000 -0.33573023   1.62851139e+00  1.62587149e+00  7.00748479e+00  6.98050404e+00 -1.58204996e-02  1.43088497e-04 -1.52664368e-02 -9.81928914e-04  4.29728831e+00  4.30223269e+00  1.84459052e+01  1.85125756e+01 
0.9122807017543852 -0.34237640807619396 -0.379719101089783 1.3312794816378188e-37 1.3312794816378267e-37 -2.9131687270688326e-55	 0.90000000 -0.33993322   1.62956757e+00  1.61312247e+00  6.98775833e+00  6.98839356e+00 -1.93589307e-03 -1.39543874e-02  3.32934038e-03 -1.89238375e-02  4.26305843e+00  4.30500418e+00  1.84635622e+01  1.84632468e+01 
0.9323308270676689 -0.34672818851402676 -0.39012430139347243 1.3498920425126532e-37 1.349892042512653e-37 -2.9153095597235677e-55	 0.92000000 -0.34412190   1.60334077e+00  1.62728922e+00  6.96680488e+00  6.99238351e+00 -8.11619935e-03 -7.81857580e-03 -1.66685200e-02 -1.58451078e-03  4.29765753e+00  4.23833575e+00  1.84741485e+01  1.84091427e+01 
0.9523809523809526 -0.35097524958742476 -0.3747047432841794 1.3183879744933586e-37 1.318387974493361e-37 -2.8952554082925306e-55	 0.94000000 -0.34830117   1.61688723e+00  1.60151356e+00  6.99204138e+00  6.95810033e+00 -1.36315595e-02 -2.44993429e-03 -1.10894399e-02 -8.86992554e-03  4.23365374e+00  4.27055298e+00  1.83860452e+01  1.84710683e+01 
0.9724310776942353 -0.3549106491868912 -0.3765798715674467 1.3248565048811242e-37 1.324856504881125e-37 -2.9091772862524094e-55	 0.96000000 -0.35247213   1.60449843e+00  1.60151528e+00  6.95666466e+00  6.97572120e+00 -7.51584296e-04 -1.56224597e-02 -8.96948995e-04 -1.84667293e-02  4.23135706e+00  4.24026280e+00  1.84295688e+01  1.83827177e+01 
0.9924812030075181 -0.3593243248560627 -0.38065668186323875 1.3298398474215087e-37 1.329839847421508e-37 -2.8997117792440195e-55	 0.98000000 -0.35663259   1.58753879e+00  1.60618762e+00  6.95287505e+00  6.96131023e+00 -1.26283774e-02 -3.97770408e-03 -2.19016970e-02 -1.14296894e-03  4.24277728e+00  4.19582466e+00  1.83935875e+01  1.83712617e+01 
1.0125313283208017 -0.3633747825862823 -0.3655410484521664 1.3002933195672868e-37 1.3002933195672855e-37 -2.886929083627338e-55	 1.00000000 -0.36077395   1.60136190e+00  1.57991462e+00  6.96595951e+00  6.93630582e+00 -9.80724158e-03 -6.79502070e-03 -7.01736826e-03 -1.67236919e-02  4.17653519e+00  4.22913435e+00  1.83273801e+01  1.84023229e+01 
1.0325814536340854 -0.3673964510074814 -0.37318671474631315 1.316956892883756e-37 1.3169568928837526e-37 -2.9007249535136668e-55	 1.02000000 -0.36490871   1.57910314e+00  1.58919363e+00  6.92475772e+00  6.95502711e+00 -2.25552159e-03 -1.45126899e-02 -7.85576690e-03 -1.54950819e-02  4.19778781e+00  4.17420109e+00  1.83745727e+01  1.82989967e+01 
1.0526315789473681 -0.3717741827013239 -0.36942090398071464 1.30609451665533e-37 1.3060945166553319e-37 -2.882155124665185e-55	 1.04000000 -0.36904077   1.57407593e+00  1.58146267e+00  6.93524548e+00  6.92488955e+00 -1.51447112e-02 -2.00159162e-03 -2.34560113e-02 -3.90557057e-03  4.17883293e+00  4.15928764e+00  1.82986580e+01  1.83236523e+01 
1.072681704260651 -0.3756842002108607 -0.35898426377157555 1.2868465598606689e-37 1.2868465598606724e-37 -2.879172771476383e-55	 1.06000000 -0.37315183   1.58109240e+00  1.56176593e+00  6.93027033e+00  6.91406732e+00 -5.89300940e-03 -1.13179813e-02 -4.80882567e-03 -2.27094462e-02  4.12801771e+00  4.17604607e+00  1.82676945e+01  1.83091188e+01 
1.0927318295739346 -0.37982446834515815 -0.36810820569717045 1.3048723574969007e-37 1.3048723574968988e-37 -2.8870225083655812e-55	 1.08000000 -0.37725139   1.55567766e+00  1.57388803e+00  6.89358268e+00  6.92482821e+00 -5.85374049e-03 -1.13783319e-02 -1.59507640e-02 -1.17336037e-02  4.15667687e+00  4.11261578e+00  1.82948391e+01  1.82164456e+01 
1.1127819548872182 -0.38407499206613993 -0.35799714535360655 1.2818028632943277e-37 1.2818028632943258e-37 -2.8645243437989196e-55	 1.10000000 -0.38135030   1.56081765e+00  1.55546376e+00  6.91103073e+00  6.88612876e+00 -1.50119618e-02 -2.53607544e-03 -2.17550144e-02 -9.57572724e-03  4.11139147e+00  4.12317815e+00  1.81968145e+01  1.82585373e+01 
1.132832080200501 -0.38793156115443606 -0.3544293925369429 1.2767241417422406e-37 1.2767241417422352e-37 -2.8704766408911517e-55	 1.12000000 -0.38543453   1.55678058e+00  1.54637306e+00  6.88744987e+00  6.88931443e+00 -3.32846341e-03 -1.44281897e-02 -5.55121063e-03 -2.55770742e-02  4.08645978e+00  4.11302891e+00  1.82015094e+01  1.81976239e+01 
1.1528822055137837 -0.39216966075929305 -0.3606085695186191 1.2873094789872496e-37 1.2873094789872423e-37 -2.86826647938583e-55	 1.14000000 -0.38950511   1.53544064e+00  1.55424127e+00  6.86303942e+00  6.88503295e+00 -1.02187943e-02 -7.58886692e-03 -2.32705217e-02 -8.93912284e-03  4.10486530e+00  4.05881516e+00  1.81905104e+01  1.81352340e+01 
1.1729323308270674 -0.39624530261198165 -0.3478791715776841 1.2599264659829596e-37 1.2599264659829618e-37 -2.8480760167613373e-55	 1.16000000 -0.39356904   1.54542508e+00  1.53063153e+00  6.87793792e+00  6.84723503e+00 -1.25780615e-02 -5.37374247e-03 -1.81327848e-02 -1.71244563e-02  4.04642570e+00  4.08159285e+00  1.80938436e+01  1.81700826e+01 
1.192982456140351 -0.4001350940053745 -0.3506305310960306 1.2673330609372103e-37 1.267333060937215e-37 -2.8590477298472113e-55	 1.18000000 -0.39762379   1.53040953e+00  1.53194314e+00  6.84071678e+00  6.85943917e+00 -3.05325140e-03 -1.51126880e-02 -9.58446184e-03 -2.50097835e-02  4.04721362e+00  4.04477165e+00  1.81216203e+01  1.80756668e+01 
1.2130325814536338 -0.40440094696222917 -0.3509357778201781 1.2649162851704961e-37 1.2649162851704995e-37 -2.845676500149165e-55	 1.20000000 -0.40167015   1.51822841e+00  1.53034413e+00  6.83161324e+00  6.83712159e+00 -1.37179976e-02 -4.65666389e-03 -2.80223637e-02 -8.56169231e-03  4.04273415e+00  4.01252977e+00  1.80655967e+01  1.80514572e+01 
1.2330827067669166 -0.40831573659296727 -0.33994465276122615 1.2422023961539108e-37 1.2422023961539127e-37 -2.8331274849729713e-55	 1.22000000 -0.40570358   1.52614074e+00  1.50862964e+00  6.83482486e+00  6.80908115e+00 -9.00927231e-03 -9.44910148e-03 -1.44275333e-02 -2.48596743e-02  3.98821191e+00  4.03039526e+00  1.79923160e+01  1.80559608e+01 
1.2531328320802002 -0.4122985615154311 -0.3461140828655649 1.2556475486392874e-37 1.2556475486392859e-37 -2.8431897322095934e-55	 1.24000000 -0.40972601   1.50447663e+00  1.51614313e+00  6.79312695e+00  6.82177940e+00 -5.20353695e-03 -1.33311545e-02 -1.63967408e-02 -2.17704931e-02  4.00436172e+00  3.97724000e+00  1.80210221e+01  1.79507591e+01 
1.2731829573934839 -0.4164981711094189 -0.34022601210215425 1.2401127618600104e-37 1.240112761860012e-37 -2.8212686641134666e-55	 1.26000000 -0.41374668   1.50258143e+00  1.50378235e+00  6.79670905e+00  6.78396649e+00 -1.50467464e-02 -3.76923425e-03 -2.90995089e-02 -1.15037550e-02  3.97406785e+00  3.97000638e+00  1.79271678e+01  1.79580055e+01 
1.2932330827067666 -0.4203187176215877 -0.33418513084513035 1.228544437829036e-37 1.2285444378290376e-37 -2.818929559644094e-55	 1.28000000 -0.41775549   1.50252662e+00  1.48978382e+00  6.78228250e+00  6.77096090e+00 -5.85913366e-03 -1.31393240e-02 -1.25552954e-02 -3.06990903e-02  3.93769293e+00  3.96878938e+00  1.78904915e+01  1.79183263e+01 
1.3132832080200494 -0.4244068175266438 -0.3397253618465349 1.239322843938041e-37 1.2393228439380337e-37 -2.8218280504636656e-55	 1.30000000 -0.42174843   1.48101374e+00  1.49690684e+00  6.74664397e+00  6.77432238e+00 -8.95909885e-03 -1.00314446e-02 -2.44746749e-02 -1.75677927e-02  3.95301157e+00  3.91545181e+00  1.78951886e+01  1.78279166e+01 
1.333333333333333 -0.4284648506655637 -0.3300084701042124 1.2161444660635803e-37 1.2161444660635766e-37 -2.7972730125096396e-55	 1.32000000 -0.42573957   1.48619628e+00  1.47704277e+00  6.75510504e+00  6.72908213e+00 -1.38125284e-02 -5.36639661e-03 -2.66248000e-02 -1.78040075e-02  3.90470189e+00  3.92541321e+00  1.77836417e+01  1.78463913e+01 
1.3533834586466167 -0.4322806415592433 -0.3297274149297928 1.2170265898051547e-37 1.2170265898051493e-37 -2.8037202753817056e-55	 1.34000000 -0.42972425   1.47580108e+00  1.47294904e+00  6.72292918e+00  6.73058397e+00 -4.53298465e-03 -1.49062181e-02 -1.40789658e-02 -3.28563098e-02  3.89195208e+00  3.89975082e+00  1.77820810e+01  1.77638009e+01 
1.3734335839598995 -0.4364281424830505 -0.3311603158399836 1.217805536794257e-37 1.21780553679426e-37 -2.7951634363794395e-55	 1.36000000 -0.43369369   1.46077576e+00  1.47335177e+00  6.70140839e+00  6.71672991e+00 -1.27180569e-02 -6.78946045e-03 -3.13997801e-02 -1.46530099e-02  3.89138519e+00  3.86135304e+00  1.77442679e+01  1.77074884e+01 
1.3934837092731822 -0.4403267456607718 -0.3215239924436686 1.1956820209483271e-37 1.195682020948328e-37 -2.775285190676998e-55	 1.38000000 -0.43765634   1.46675325e+00  1.45245693e+00  6.70379986e+00  6.67536928e+00 -1.07604056e-02 -8.84020143e-03 -2.21566159e-02 -2.62057041e-02  3.84021129e+00  3.87326672e+00  1.76420827e+01  1.77097101e+01 
1.4135338345864659 -0.4442145062911633 -0.32514760256874464 1.2045142520510391e-37 1.2045142520510379e-37 -2.78504961329448e-55	 1.40000000 -0.44161338   1.44843185e+00  1.45584914e+00  6.66086000e+00  6.68437958e+00 -5.73534946e-03 -1.40529129e-02 -1.96452515e-02 -3.08076651e-02  3.84526948e+00  3.82898660e+00  1.76576441e+01  1.76019851e+01 
1.4335839598997495 -0.4483309081975342 -0.3211869379549378 1.1928576206878358e-37 1.1928576206878358e-37 -2.76508795308161e-55	 1.42000000 -0.44556083   1.44287415e+00  1.44639318e+00  6.65536524e+00  6.65124935e+00 -1.47405541e-02 -5.20824221e-03 -3.46298225e-02 -1.52067671e-02  3.82180844e+00  3.81269476e+00  1.75741901e+01  1.75838033e+01 
1.4536340852130323 -0.45212005367833985 -0.3151661250789966 1.1795632565696282e-37 1.1795632565696276e-37 -2.7554500693118748e-55	 1.44000000 -0.44950058   1.44301142e+00  1.43113614e+00  6.64148776e+00  6.62378696e+00 -7.50088740e-03 -1.25894237e-02 -1.83510468e-02 -3.40000586e-02  3.78331753e+00  3.81102771e+00  1.75047959e+01  1.75461296e+01 
1.473684210526315 -0.4561112879954312 -0.3190738894567674 1.1879629234777157e-37 1.1879629234777182e-37 -2.760603999407283e-55	 1.46000000 -0.45343035   1.42301095e+00  1.43594167e+00  6.60004693e+00  6.62847143e+00 -9.01423709e-03 -1.11667819e-02 -2.82298163e-02 -2.59576922e-02  3.79169403e+00  3.76251788e+00  1.75082116e+01  1.74421606e+01 
1.4937343358395987 -0.46010702409590554 -0.31130837954314733 1.1679101912499814e-37 1.1679101912499827e-37 -2.7347503822483178e-55	 1.48000000 -0.45735234   1.42500877e+00  1.41851589e+00  6.60443092e+00  6.58249991e+00 -1.40801710e-02 -6.21372998e-03 -3.29466568e-02 -2.04553596e-02  3.74994585e+00  3.76377442e+00  1.73955767e+01  1.74461512e+01 
1.5137844611528823 -0.4638784007850292 -0.31027250893396774 1.1662348819277027e-37 1.1662348819277033e-37 -2.736014298521844e-55	 1.50000000 -0.46127120   1.41569295e+00  1.41235650e+00  6.57014192e+00  6.57245679e+00 -5.83283022e-03 -1.46831646e-02 -1.81131344e-02 -3.78903567e-02  3.73218755e+00  3.74062639e+00  1.73665729e+01  1.73611974e+01 
1.533834586466165 -0.46793711313508 -0.31093145545508544 1.1661075527635981e-37 1.166107552763595e-37 -2.729619820197757e-55	 1.52000000 -0.46517927   1.40091996e+00  1.41172114e+00  6.54228457e+00  6.56070612e+00 -1.27095794e-02 -7.93639570e-03 -3.67110008e-02 -2.14384648e-02  3.72817917e+00  3.70359140e+00  1.73303246e+01  1.72884601e+01 
1.5538847117794479 -0.4717802047917652 -0.3029550584415501 1.146287460311682e-37 1.146287460311683e-37 -2.707063735532888e-55	 1.54000000 -0.46907561   1.40441348e+00  1.39255145e+00  6.54370446e+00  6.51549743e+00 -1.12484736e-02 -9.42516029e-03 -2.76858127e-02 -2.94875652e-02  3.68219292e+00  3.70824186e+00  1.72197279e+01  1.72833341e+01 
1.5739348370927315 -0.47562035195816343 -0.3053868599451481 1.1522641094477668e-37 1.1522641094477668e-37 -2.713584371266304e-55	 1.56000000 -0.47297014   1.38739303e+00  1.39370286e+00  6.49512674e+00  6.51664266e+00 -6.85058813e-03 -1.39954419e-02 -2.32549008e-02 -3.60314819e-02  3.68095385e+00  3.66787349e+00  1.72152153e+01  1.71670116e+01 
1.5939849624060152 -0.4796517763252772 -0.30139862490097913 1.1406114259293767e-37 1.140611425929376e-37 -2.694162427543427e-55	 1.58000000 -0.47685881   1.38145964e+00  1.38387528e+00  6.48565405e+00  6.48304660e+00 -1.46894212e-02 -6.36453632e-03 -4.09260582e-02 -2.09519017e-02  3.65660502e+00  3.65043486e+00  1.71297263e+01  1.71355569e+01 
